player_name,team,position,est_return_date,status,status_text,comment,fetched_at,_data_source,player_key
Aaliyah Nye,ATLANTA DREAM,G,Jul 9,out,Out,Jul 8: Nye (knee) is questionable for Thursday's game against the Storm.,2026-07-08T23:15:05.806679+00:00,api:espn_injuries,aaliyah nye
Jaylyn Sherrod,ATLANTA DREAM,G,Jul 9,out,Out,Jul 4: Sherrod (coach's decision) has been ruled out for Saturday's game against the Valkyries.,2026-07-08T23:15:05.806792+00:00,api:espn_injuries,jaylyn sherrod
Amy Okonkwo,ATLANTA DREAM,F,Jul 9,out,Out,Jul 4: Okonkwo (coach's decision) has been ruled out for Saturday's game against Golden State.,2026-07-08T23:15:05.806886+00:00,api:espn_injuries,amy okonkwo
Brionna Jones,ATLANTA DREAM,F,Jul 13,out,Out,"Jun 17: The Dream expect Jones (knee) to resume team activities in the coming weeks, per Myles Ehrlich of Winsidr.com.",2026-07-08T23:15:05.806983+00:00,api:espn_injuries,brionna jones
Chloe Bibby,CHICAGO SKY,F,Jul 10,out,Out,"Jul 7: Bibby (coach's decision) has been ruled out for Tuesday's game against Phoenix, WNBA reporter Kareem Copeland reports.",2026-07-08T23:15:05.807140+00:00,api:espn_injuries,chloe bibby
Maddy Westbeld,CHICAGO SKY,F,Jul 10,out,Out,"Jul 7: Westbeld (coach's decision) has been ruled out for Tuesday's game against the Mercury, Kareem Copeland of ESPN reports.",2026-07-08T23:15:05.807220+00:00,api:espn_injuries,maddy westbeld
Skylar Diggins,CHICAGO SKY,G,Jul 10,out,Out,Jul 7: Diggins (knee) has been ruled out for Tuesday's game against Phoenix.,2026-07-08T23:15:05.807289+00:00,api:espn_injuries,skylar diggins
DiJonai Carrington,CHICAGO SKY,G,Jul 15,out,Out,Jun 27: Carrington (foot) will remain on the inactive list for Sunday's game against the Aces.,2026-07-08T23:15:05.807354+00:00,api:espn_injuries,dijonai carrington
Rickea Jackson,CHICAGO SKY,F,May 1,out,Out,May 19: The Sky announced Tuesday that Jackson will miss the remainder of the season after suffering a torn ACL in her left knee during Sunday's 86-79 win over the Lynx.,2026-07-08T23:15:05.807422+00:00,api:espn_injuries,rickea jackson
Aneesah Morrow,CONNECTICUT SUN,F,Jul 10,out,Out,Jul 7: Morrow is out for Wednesday's game against the Lynx due to personal reasons.,2026-07-08T23:15:05.807578+00:00,api:espn_injuries,aneesah morrow
Iliana Rupert,GOLDEN STATE VALKYRIES,C,May 1,out,Out,"May 7: Rupert is pregnant, and the Valkyries have filed for a replacement contract ahead of the 2026 season, Alexa Philippou of ESPN.com reports Thursday.",2026-07-08T23:15:05.807709+00:00,api:espn_injuries,iliana rupert
Aliyah Boston,INDIANA FEVER,C,Jul 9,out,Out,"Jul 8: Boston (lower leg) is out for Wednesday's game against the Sparks but will be available for Thursday's game against Phoenix, per Chloe Peterson of The Indianapolis Star.",2026-07-08T23:15:05.807844+00:00,api:espn_injuries,aliyah boston
Dana Evans,LAS VEGAS ACES,G,Jul 9,out,Out,Jul 4: Evans (leg) is out for Sunday's game against the Fever.,2026-07-08T23:15:05.807986+00:00,api:espn_injuries,dana evans
Janiah Barker,LAS VEGAS ACES,F,Jul 9,out,Out,Jul 4: Barker (leg) is listed as out for Sunday's game against Indiana.,2026-07-08T23:15:05.808052+00:00,api:espn_injuries,janiah barker
A'ja Wilson,LAS VEGAS ACES,C,Jul 9,out,Out,Jul 4: Wilson (leg) is listed as out for Sunday's game against the Fever.,2026-07-08T23:15:05.808118+00:00,api:espn_injuries,a'ja wilson
Cameron Brink,LOS ANGELES SPARKS,F,Jul 13,out,Out,"Jun 25: Brink (ankle) will be re-evaluated in two weeks, John W. Davis of Long Beach Press-Telegram reports.",2026-07-08T23:15:05.808256+00:00,api:espn_injuries,cameron brink
Kelsey Plum,LOS ANGELES SPARKS,G,Jul 28,out,Out,"Jun 24: Plum has suffered a lower left leg injury and will be re-evaluated in four weeks, Mitchell Hansen of CanisHoopus.com reports.",2026-07-08T23:15:05.808320+00:00,api:espn_injuries,kelsey plum
Olivia Miles,MINNESOTA LYNX,G,Jul 11,out,Out,Jul 8: Miles (calf) is out for Wednesday's game against the Sun.,2026-07-08T23:15:05.808464+00:00,api:espn_injuries,olivia miles
Napheesa Collier,MINNESOTA LYNX,F,Jul 13,out,Out,"Jul 1: Collier (ankle) has been cleared to resume practices with the Lynx, the team announced Wednesday.",2026-07-08T23:15:05.808530+00:00,api:espn_injuries,napheesa collier
Emma Cechova,MINNESOTA LYNX,F,May 1,out,Out,"May 15: Cechova (knee) was diagnosed with a torn ACL in her right knee and will undergo surgery, Meghan L. Hall of USA Today reports. She will miss the remainder of the season.",2026-07-08T23:15:05.808595+00:00,api:espn_injuries,emma cechova
Satou Sabally,NEW YORK LIBERTY,F,Jul 11,out,Out,,2026-07-08T23:15:05.808727+00:00,api:espn_injuries,satou sabally
Rebecca Allen,NEW YORK LIBERTY,G,Jul 11,out,Out,"Jul 7: Allen sustained an apparent nasal injury in the fourth quarter of Tuesday's 88-77 loss to the Wings and did not return, finishing with one block in four minutes.",2026-07-08T23:15:05.808793+00:00,api:espn_injuries,rebecca allen
Leonie Fiebich,NEW YORK LIBERTY,F,Jul 11,out,Out,Jul 7: Fiebich (foot) has been ruled out for Tuesday's game against Dallas.,2026-07-08T23:15:05.808857+00:00,api:espn_injuries,leonie fiebich
Shay Ciezki,PHOENIX MERCURY,G,Jul 9,out,Out,Jul 7: Ciezki (coach's decision) has been ruled out for Tuesday's game against the Sky.,2026-07-08T23:15:05.809008+00:00,api:espn_injuries,shay ciezki
Natasha Mack,PHOENIX MERCURY,F,Jul 19,out,Out,,2026-07-08T23:15:05.809073+00:00,api:espn_injuries,natasha mack
Jovana Nogic,PHOENIX MERCURY,G,May 1,out,Out,"Jun 27: Nogic (not injury related) intends to play professionally in Russia and won't return to Phoenix this season, Aya Abdeen of TheIXSports.com reports.",2026-07-08T23:15:05.809138+00:00,api:espn_injuries,jovana nogic
Sami Whitcomb,PHOENIX MERCURY,G,Jul 13,out,Out,"May 6: Whitcomb will undergo an arthroscopy on Thursday to remove a loose body in her left knee. She will be re-evaluated in four to six weeks, Shane Young of the Mercury's official site reports.",2026-07-08T23:15:05.809203+00:00,api:espn_injuries,sami whitcomb
Karlie Samuelson,PORTLAND FIRE,G,Jul 9,out,Out,Jul 3: Samuelson (finger) is listed as out for Saturday's game against Seattle.,2026-07-08T23:15:05.809343+00:00,api:espn_injuries,karlie samuelson
Taina Mair,SEATTLE STORM,G,Jul 12,out,Out,Jul 8: Mair (coach's decision) is out for Thursday's game against the Dream.,2026-07-08T23:15:05.809490+00:00,api:espn_injuries,taina mair
Temi Fagbenle,TORONTO TEMPO,C,Jul 10,out,Out,"Jul 7: Fagbenle (eye) is out for Wednesday's game against the Valkyries, Chelsea Leite of TSN reports.",2026-07-08T23:15:05.809622+00:00,api:espn_injuries,temi fagbenle
Brittney Sykes,TORONTO TEMPO,G,Jul 14,out,Out,"Jun 19: Sykes (foot) will be re-evaluated in the coming weeks, according to WNBA reporter Kareem Copeland.",2026-07-08T23:15:05.809686+00:00,api:espn_injuries,brittney sykes
Kiki Rice,TORONTO TEMPO,G,Jul 14,out,Out,"Jun 19: Rice (ankle) remains sidelined by a Grade 3 left ankle sprain, according to WNBA reporter Kareem Copeland.",2026-07-08T23:15:05.809754+00:00,api:espn_injuries,kiki rice
