GAME_DATE,PLAYER_KEY,PLAYER_NAME,TEAM_ABBREVIATION,OPPONENT_ABBREVIATION,OPPONENT,MATCHUP,GAME_ID,SIM_RUNS,ACTIVE_PROB,INJURY_STATUS,CONFIDENCE_LABEL,MODEL_CONFIDENCE,MIN_PROJ,PRED_MIN,SIM_MIN_P10,SIM_MIN_P50,SIM_MIN_P90,SIM_MIN_STD,PTS_PROJ,PRED_PTS,SIM_PTS_P10,SIM_PTS_P50,SIM_PTS_P90,SIM_PTS_STD,REB_PROJ,PRED_REB,SIM_REB_P10,SIM_REB_P50,SIM_REB_P90,SIM_REB_STD,AST_PROJ,PRED_AST,SIM_AST_P10,SIM_AST_P50,SIM_AST_P90,SIM_AST_STD,FG3M_PROJ,PRED_FG3M,SIM_FG3M_P10,SIM_FG3M_P50,SIM_FG3M_P90,SIM_FG3M_STD,STL_PROJ,PRED_STL,SIM_STL_P10,SIM_STL_P50,SIM_STL_P90,SIM_STL_STD,BLK_PROJ,PRED_BLK,SIM_BLK_P10,SIM_BLK_P50,SIM_BLK_P90,SIM_BLK_STD,PRA_PROJ,SIM_PRA_P10,SIM_PRA_P50,SIM_PRA_P90,SIM_PRA_STD,PR_PROJ,SIM_PR_P10,SIM_PR_P50,SIM_PR_P90,SIM_PR_STD,PA_PROJ,SIM_PA_P10,SIM_PA_P50,SIM_PA_P90,SIM_PA_STD,RA_PROJ,SIM_RA_P10,SIM_RA_P50,SIM_RA_P90,SIM_RA_STD,SB_PROJ,SIM_SB_P10,SIM_SB_P50,SIM_SB_P90,SIM_SB_STD,player_name,player_key,team,opponent,matchup,game_date,game_id,projected_minutes,pts_proj,pts_median,reb_proj,reb_median,ast_proj,ast_median,fg3m_proj,fg3m_median,stl_proj,stl_median,blk_proj,blk_median,pts_floor,pts_ceiling,pts_std,reb_floor,reb_ceiling,reb_std,ast_floor,ast_ceiling,ast_std,fg3m_floor,fg3m_ceiling,fg3m_std,stl_floor,stl_ceiling,stl_std,blk_floor,blk_ceiling,blk_std,confidence
2026-07-07,aicha coulibaly,Aicha Coulibaly,CHI,PHX,PHX,CHI @ PHX,,10000,,UNKNOWN,Medium,MEDIUM,12.23,12.23,8.43,12.24,16.09,3.01,3.0,,0.04,1.32,8.04,4.41,2.27,,0.63,1.88,4.39,1.63,0.55,,0.0,0.0,2.0,0.76,0.12,,0.0,0.0,1.0,0.35,0.53,,0.0,0.0,2.0,1.04,0.27,,0.0,0.0,1.0,0.53,8.11,2.09,6.09,16.25,7.11,7.02,1.58,4.98,14.71,6.71,5.33,0.2,2.98,12.99,6.8,2.82,0.83,2.46,5.27,1.84,0.8,0.0,0.0,2.0,1.17,Aicha Coulibaly,aicha coulibaly,CHI,PHX,CHI @ PHX,2026-07-07,,12.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-07-07,alanna smith,Alanna Smith,DAL,NYL,NYL,DAL @ NYL,,10000,,UNKNOWN,Medium,MEDIUM,11.01,10.64,4.4,10.86,17.71,5.13,4.79,,1.5,4.22,8.76,3.02,2.12,,0.58,1.79,4.06,1.5,0.46,,0.0,0.0,1.0,0.72,0.66,,0.0,0.0,2.0,0.89,0.48,,0.0,0.0,2.0,0.91,0.28,,0.0,0.0,1.0,0.55,5.51,1.9,5.04,9.7,3.15,5.47,1.9,5.0,9.65,3.15,3.6,1.1,3.21,6.54,2.24,2.58,0.65,2.23,4.94,1.79,0.76,0.0,0.0,2.0,1.09,Alanna Smith,alanna smith,DAL,NYL,DAL @ NYL,2026-07-07,,10.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-07-07,alysha clark,Alysha Clark,DAL,NYL,NYL,DAL @ NYL,,10000,,UNKNOWN,Medium,MEDIUM,8.14,8.0,3.63,8.09,12.66,3.46,0.53,,0.23,0.52,0.83,0.23,1.06,,0.42,1.0,1.77,0.54,0.13,,0.0,0.0,1.0,0.37,0.08,,0.0,0.0,0.0,0.29,0.08,,0.0,0.0,0.0,0.29,0.08,,0.0,0.0,0.0,0.28,2.76,1.1,2.58,4.65,1.42,2.58,1.1,2.51,4.14,1.19,1.18,0.43,0.99,2.47,0.82,1.19,0.43,1.06,2.13,0.69,0.16,0.0,0.0,1.0,0.41,Alysha Clark,alysha clark,DAL,NYL,DAL @ NYL,2026-07-07,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-07-07,alyssa thomas,Alyssa Thomas,PHX,CHI,CHI,PHX vs CHI,,10000,,UNKNOWN,Medium,MEDIUM,31.06,31.51,25.84,31.14,36.24,3.97,13.19,,6.25,12.13,21.48,6.22,5.74,,3.57,5.54,8.16,1.84,8.37,,4.0,8.0,13.0,3.18,0.31,,0.0,0.0,1.0,0.56,1.14,,0.0,1.0,3.0,1.1,0.69,,0.0,0.0,2.0,0.85,26.38,17.55,25.52,36.24,7.53,18.18,10.79,17.14,26.83,6.46,20.91,12.8,20.06,30.05,7.0,14.12,9.31,13.86,19.39,3.93,1.83,0.0,2.0,4.0,1.4,Alyssa Thomas,alyssa thomas,PHX,CHI,PHX vs CHI,2026-07-07,,31.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-07-07,anneli maley,Anneli Maley,NYL,DAL,DAL,NYL vs DAL,401857023.0,10000,,UNKNOWN,Medium,MEDIUM,11.58,9.03,2.77,10.78,21.24,7.07,1.25,,0.0,0.0,2.03,6.13,1.1,,0.0,0.15,3.06,2.63,0.12,,0.0,0.0,0.0,0.39,0.11,,0.0,0.0,0.0,0.4,0.29,,0.0,0.0,1.0,0.85,0.12,,0.0,0.0,1.0,0.35,7.39,0.01,1.57,17.76,20.24,7.04,0.01,1.11,17.43,20.15,4.1,0.0,0.0,6.72,18.46,1.21,0.0,0.22,3.25,2.68,0.4,0.0,0.0,1.0,0.93,Anneli Maley,anneli maley,NYL,DAL,NYL vs DAL,2026-07-07,401857023.0,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-07-07,arike ogunbowale,Arike Ogunbowale,DAL,NYL,NYL,DAL @ NYL,,10000,,UNKNOWN,Low,LOW,25.57,25.66,20.29,25.54,30.99,4.18,10.17,,3.01,8.67,19.16,6.93,2.89,,1.78,2.77,4.17,0.94,2.3,,0.0,2.0,4.0,1.58,1.61,,0.0,1.0,4.0,1.53,0.7,,0.0,0.0,2.0,0.85,0.26,,0.0,0.0,1.0,0.51,14.82,7.3,13.42,24.02,7.11,13.46,5.9,11.88,23.01,7.33,11.85,4.71,10.51,20.71,6.83,5.19,2.85,4.96,7.83,1.95,0.95,0.0,1.0,2.0,0.99,Arike Ogunbowale,arike ogunbowale,DAL,NYL,DAL @ NYL,2026-07-07,,25.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-07-07,awak kuier,Awak Kuier,DAL,NYL,NYL,DAL @ NYL,,10000,,UNKNOWN,Medium,MEDIUM,12.68,12.68,7.33,12.68,17.99,4.14,5.73,,3.0,5.53,8.69,2.27,2.85,,1.14,2.57,4.91,1.58,0.83,,0.0,1.0,2.0,0.96,0.47,,0.0,0.0,1.0,0.7,0.46,,0.0,0.0,1.0,0.71,0.57,,0.0,0.0,2.0,0.82,6.49,3.41,6.27,9.81,2.54,6.86,3.62,6.61,10.38,2.69,4.06,2.08,3.93,6.22,1.64,3.68,1.43,3.37,6.33,1.97,1.03,0.0,1.0,2.1,1.11,Awak Kuier,awak kuier,DAL,NYL,DAL @ NYL,2026-07-07,,12.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-07-07,aziaha james,Aziaha James,DAL,NYL,NYL,DAL @ NYL,,10000,,UNKNOWN,Medium,MEDIUM,13.29,12.92,4.9,13.11,21.74,6.42,5.18,,0.27,2.85,12.82,6.68,2.62,,0.61,2.15,5.16,2.02,1.56,,0.0,1.0,5.0,2.6,0.14,,0.0,0.0,1.0,0.45,0.59,,0.0,0.0,2.0,0.98,0.15,,0.0,0.0,1.0,0.42,14.73,2.88,10.95,31.03,13.42,14.35,2.7,10.03,31.17,14.25,9.99,0.91,6.41,23.11,11.17,4.19,0.81,3.24,8.59,3.59,0.74,0.0,0.0,2.0,1.09,Aziaha James,aziaha james,DAL,NYL,DAL @ NYL,2026-07-07,,12.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-07-07,azura stevens,Azura Stevens,CHI,PHX,PHX,CHI @ PHX,,10000,,UNKNOWN,Medium,MEDIUM,25.95,26.01,21.66,25.92,30.24,3.37,10.47,,4.62,9.59,17.53,5.26,7.47,,4.06,7.04,11.52,3.02,3.06,,0.0,3.0,6.0,2.36,0.96,,0.0,1.0,2.0,1.1,0.93,,0.0,1.0,2.0,0.96,0.37,,0.0,0.0,1.0,0.69,20.17,12.43,19.35,28.93,6.64,16.96,10.17,16.1,24.85,5.95,13.45,6.72,12.6,21.04,5.85,10.53,5.81,10.03,15.79,3.97,1.3,0.0,1.0,3.0,1.19,Azura Stevens,azura stevens,CHI,PHX,CHI @ PHX,2026-07-07,,26.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-07-07,azzi fudd,Azzi Fudd,DAL,NYL,NYL,DAL @ NYL,,10000,,UNKNOWN,Medium,MEDIUM,31.11,31.34,26.26,31.18,35.91,3.73,12.01,,3.63,10.18,22.76,8.04,2.82,,0.97,2.49,5.13,1.72,2.15,,0.0,2.0,4.0,1.5,1.64,,0.0,1.0,3.0,1.3,1.71,,0.0,1.0,4.0,1.81,0.88,,0.0,0.0,3.0,1.59,18.37,8.43,16.59,30.62,9.21,16.56,6.61,14.61,28.99,9.35,15.33,5.9,13.45,27.26,8.9,4.97,2.19,4.65,8.14,2.33,2.59,0.0,2.0,6.0,2.39,Azzi Fudd,azzi fudd,DAL,NYL,DAL @ NYL,2026-07-07,,31.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
