DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,STDDEV,HIT_RATE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL,bet_date,player_name,team,opponent,stat,line,side,sportsbook,odds,hit_rate,edge,projection_mean,projection_median,floor,ceiling,projected_minutes,confidence,confidence_score,line_delta,actual_value,bet_result,bet_quality_score,line_open,line_move,line_pulled
2026-06-26,Naz Hillmon,ATL,ATL vs GSV,REB,rebounds,UNDER REB,6.0,3.2392968617994318,-2.7607031382005687,2.7607031382005687,1.956768694107128,0.78511434488,MEDIUM,28.511434488,Medium,,,2026-06-26,Naz Hillmon,ATL,GSV,rebounds,6.0,under,prizepicks,,0.78511434488,0.28511434488,3.2392968617994318,2.865606226457825,1.143248893554454,5.854885673035754,29.714079357968917,medium,2,-2.7607031382005687,,,43.29141862893963,6.0,0.0,False
2026-06-26,Azura Stevens,CHI,CHI vs POR,PRA,pra,UNDER PRA,22.5,16.33195440150567,-6.168045598494331,6.168045598494331,5.586868821355333,0.74473286768,MEDIUM,24.473286768,Medium,,,2026-06-26,Azura Stevens,CHI,POR,pra,22.5,under,prizepicks,,0.74473286768,0.24473286768000002,16.33195440150567,15.66195506129,9.807017439520012,23.715887699407386,22.69325096982542,medium,2,-6.168045598494331,,,41.440451587589095,21.5,1.0,False
2026-06-26,Azura Stevens,CHI,CHI vs POR,PR,pr,UNDER PR,19.5,14.340306204149224,-5.159693795850776,5.159693795850776,5.091088534981716,0.7292021048000001,MEDIUM,22.920210480000016,Medium,,,2026-06-26,Azura Stevens,CHI,POR,pr,19.5,under,prizepicks,,0.7292021048000001,0.22920210480000014,14.340306204149224,13.616281486046988,8.389047110685384,21.09204937725652,22.69325096982542,medium,2,-5.159693795850776,,,38.49075442494556,19.5,0.0,False
2026-06-26,Kayla Thornton,GSV,GSV vs ATL,PRA,pra,UNDER PRA,15.5,11.170467343932836,-4.329532656067164,4.329532656067164,4.5368427820126,0.7304271804800002,MEDIUM,23.042718048000022,Medium,,,2026-06-26,Kayla Thornton,GSV,ATL,pra,15.5,under,prizepicks,,0.7304271804800002,0.23042718048000022,11.170467343932836,10.496373744429423,5.995259482994171,17.233034186191045,23.20536882776504,medium,2,-4.329532656067164,,,37.829091280900144,15.5,0.0,False
2026-06-26,Sarah Ashlee Barker,POR,POR vs CHI,PRA,pra,UNDER PRA,18.5,13.816579674422616,-4.683420325577384,4.683420325577384,5.164262453130746,0.725580764,MEDIUM,22.558076400000004,Medium,,,2026-06-26,Sarah Ashlee Barker,POR,CHI,pra,18.5,under,prizepicks,,0.725580764,0.22558076400000004,13.816579674422616,13.180624962758948,7.791377130311661,20.64717927938059,22.485478406760347,medium,2,-4.683420325577384,,,37.5555801777802,18.5,0.0,False
2026-06-26,Sarah Ashlee Barker,POR,POR vs CHI,PA,pa,UNDER PA,14.5,10.00545231379475,-4.49454768620525,4.49454768620525,3.9771274124916607,0.72387379232,MEDIUM,22.387379232000004,Medium,,,2026-06-26,Sarah Ashlee Barker,POR,CHI,pa,14.5,under,prizepicks,,0.72387379232,0.22387379232000004,10.00545231379475,9.484385151757442,5.357962360122523,15.238269893607022,22.485478406760347,medium,2,-4.49454768620525,,,37.15333607840807,14.5,0.0,False
2026-06-26,Kayla Thornton,GSV,GSV vs ATL,PR,pr,UNDER PR,14.5,10.4675375975783,-4.0324624024217,4.0324624024217,4.389607428577633,0.7248228128000003,MEDIUM,22.482281280000027,Medium,,,2026-06-26,Kayla Thornton,GSV,ATL,pr,14.5,under,prizepicks,,0.7248228128000003,0.22482281280000027,10.4675375975783,9.791755977860776,5.54232258155272,16.201636888107295,23.20536882776504,medium,2,-4.0324624024217,,,36.83147506725469,14.5,0.0,False
2026-06-26,Allisha Gray,ATL,ATL vs GSV,PTS,points,UNDER PTS,18.5,14.36028160266238,-4.139718397337621,4.139718397337621,5.0262110983157005,0.70291005776,MEDIUM,20.291005776000006,Medium,,,2026-06-26,Allisha Gray,ATL,GSV,points,18.5,under,prizepicks,,0.70291005776,0.20291005776000004,14.36028160266238,13.727681871985595,8.456737879995709,21.10879101667777,33.025703642649546,medium,2,-4.139718397337621,,,34.49424672661711,18.0,0.5,False
2026-06-26,Megan Gustafson,POR,POR vs CHI,PRA,pra,UNDER PRA,21.0,14.907358779259011,-6.092641220740989,6.092641220740989,6.210633541626874,0.68,MEDIUM,18.000000000000004,Medium,,,2026-06-26,Megan Gustafson,POR,CHI,pra,21.0,under,prizepicks,,0.68,0.18000000000000005,14.907358779259011,13.973836809633047,7.906551424684566,23.171190819426663,20.484961532209866,medium,2,-6.092641220740989,,,33.20719006670729,21.0,0.0,False
2026-06-26,Naz Hillmon,ATL,ATL vs GSV,PR,pr,OVER PR,13.5,23.77170630824602,10.27170630824602,10.27170630824602,15.989497817451236,0.64305655976,MEDIUM,14.305655975999997,Medium,,,2026-06-26,Naz Hillmon,ATL,GSV,pr,13.5,over,prizepicks,,0.64305655976,0.14305655975999998,23.77170630824602,19.905114307075905,8.344376946918262,44.24139539933833,29.714079357968917,medium,2,10.27170630824602,,,33.045198658985086,14.5,-1.0,False
