WNBA Model Calibration Report
Total graded bets: 2878
Overall record: 1515-1363
Overall win rate: 0.526

By stat and probability bucket:
       stat prob_bucket  bets  avg_hit_rate  actual_win_rate  avg_edge  avg_minutes  calibration_gap
    assists      60-65%     7      0.586630         0.571429  0.086630    28.101909        -0.015202
    assists      65-70%    23      0.617896         0.608696  0.117896    26.498115        -0.009200
    assists      70-75%    11      0.673570         0.363636  0.173570    28.315563        -0.309933
    assists      75-80%     8      0.721062         0.250000  0.221062    27.971626        -0.471062
    assists     80-100%    16      0.775244         0.437500  0.275244    27.448291        -0.337744
    assists    80-100%+    27      0.920133         0.555556  0.420133    28.886156        -0.364578
     blocks    80-100%+     1      0.806900         0.000000  0.272016    30.131458        -0.806900
         pa      60-65%    35      0.583379         0.571429  0.083379    28.873662        -0.011950
         pa      65-70%   166      0.620444         0.506024  0.120444    28.330309        -0.114420
         pa      70-75%    67      0.677905         0.417910  0.177905    26.815636        -0.259994
         pa      75-80%    25      0.714787         0.520000  0.214787    28.096563        -0.194787
         pa     80-100%    18      0.769846         0.555556  0.269846    28.448782        -0.214291
         pa    80-100%+    98      0.948521         0.530612  0.448521    25.410938        -0.417909
     points      60-65%    57      0.582742         0.578947  0.082742    26.524763        -0.003795
     points      65-70%   228      0.624877         0.552632  0.124877    26.177087        -0.072246
     points      70-75%   107      0.669401         0.560748  0.169401    26.754672        -0.108653
     points      75-80%    53      0.722112         0.566038  0.222112    27.373472        -0.156074
     points     80-100%    29      0.774593         0.482759  0.273390    28.632682        -0.291834
     points    80-100%+   156      0.929277         0.532051  0.429277    25.394906        -0.397226
         pr      60-65%    49      0.583635         0.591837  0.083635    27.741046         0.008202
         pr      65-70%   259      0.623282         0.455598  0.123282    26.249702        -0.167683
         pr      70-75%    63      0.671470         0.492063  0.171470    25.318510        -0.179406
         pr      75-80%    48      0.720689         0.333333  0.220689    27.226379        -0.387356
         pr     80-100%    27      0.772907         0.444444  0.272907    26.751701        -0.328463
         pr    80-100%+   189      0.935458         0.592593  0.435458    24.921709        -0.342866
        pra      60-65%    34      0.584080         0.529412  0.084080    26.343038        -0.054668
        pra      65-70%   218      0.624309         0.500000  0.124309    27.601086        -0.124309
        pra      70-75%   113      0.670681         0.477876  0.170681    25.825723        -0.192805
        pra      75-80%    61      0.724454         0.491803  0.224454    27.771827        -0.232651
        pra     80-100%    26      0.775070         0.423077  0.275070    28.728949        -0.351993
        pra    80-100%+   205      0.948160         0.590244  0.448160    25.229508        -0.357916
         ra      60-65%    19      0.583080         0.473684  0.083080    31.139450        -0.109396
         ra      65-70%    66      0.624191         0.424242  0.124191    29.124657        -0.199949
         ra      70-75%    27      0.671626         0.518519  0.171626    29.178046        -0.153108
         ra      75-80%    11      0.716061         0.454545  0.216061    29.764632        -0.261515
         ra     80-100%    12      0.774258         0.500000  0.274258    29.189394        -0.274258
         ra    80-100%+    28      0.864511         0.535714  0.364511    27.216230        -0.328796
   rebounds      60-65%    19      0.580212         0.631579  0.080212    26.342606         0.051367
   rebounds      65-70%    96      0.625484         0.552083  0.125484    27.782748        -0.073401
   rebounds      70-75%    40      0.667205         0.550000  0.167205    28.134058        -0.117205
   rebounds      75-80%    28      0.715311         0.714286  0.215311    29.285004        -0.001026
   rebounds     80-100%    17      0.776108         0.705882  0.274056    27.729405        -0.070225
   rebounds    80-100%+    47      0.909194         0.680851  0.408451    25.624580        -0.228343
     steals      60-65%     2      0.598715         1.000000  0.098715    33.462009         0.401285
     steals      65-70%     7      0.629490         0.714286  0.129490    30.901995         0.084796
     steals      70-75%     5      0.673718         0.400000  0.173718    29.304704        -0.273718
     steals      75-80%     4      0.700000         0.500000  0.200000    28.776527        -0.200000
     steals     80-100%     2      0.769000         0.500000  0.269000    27.543612        -0.269000
     steals    80-100%+     7      0.893357         0.714286  0.388374    29.126314        -0.179071
threes_made      60-65%     5      0.583256         0.600000  0.083256    22.578945         0.016744
threes_made      65-70%     5      0.624424         0.400000  0.124424    31.116786        -0.224424
threes_made      75-80%     3      0.719967         0.333333  0.219967    31.738861        -0.386633
threes_made     80-100%     2      0.781150         1.000000  0.281150    28.203156         0.218850
threes_made    80-100%+     2      0.842600         1.000000  0.342600    21.306054         0.157400
